stationId,imageDate,imgPath,meteoDate,dew,humidity,precipitation,roadCondition,temperature C bellow 5cm,temperature C 0cm,temperature C 20cm,temperature C 2m,warnings,wind direction,speed[m/s],imageDate_t,imageDate_ts,cluster,time
1215-0,14/02/2019 11:05,/save/1215-0/30/1550142330_1215-0.jpg,14/02/2019 11:00,6.9,92.0,none,dry,0,10.8,0.0,8.2,none,196,0.0,14/02/2019 11:05,8334330,0,11:05:30
1067-0,30/12/2018 12:12,/save/1067-0/59/1546171959_1067-0.jpg,30/12/2018 12:00,3.2,89.0,none,moist,0,5.6,0.0,4.9,none,292,6.4,30/12/2018 12:12,4363959,1,12:12:39
495-2,30/12/2018 13:10,/save/495-2/49/1546175449_495-2.jpg,30/12/2018 13:00,1.1,73.3,none,moist,0,7.7,0.0,5.6,none,290,2.1,30/12/2018 13:10,4367449,1,13:10:49
68-0,21/11/2018 12:30,/save/68-0/26/1542803426_68-0.jpg,21/11/2018 12:20,-3.5,73.0,none,dry,0,5.1,1.4,0.8,none,121,1.0,21/11/2018 12:30,995426,3,12:30:26
232-0,16/12/2018 12:25,/save/232-0/10/1544963110_232-0.jpg,16/12/2018 12:30,-6.5,80.6,none,moist,0,-1.2,0.0,-3.6,medium warning,229,0.0,16/12/2018 12:25,3155110,1,12:25:10
146-0,7/12/2018 11:50,/save/146-0/16/1544183416_146-0.jpg,7/12/2018 11:40,3.2,74.5,none,dry,0,9.8,8.9,7.5,none/unknown,254,1.7,7/12/2018 11:50,2375416,3,11:50:16
1490-0,16/01/2019 12:51,/save/1490-0/60/1547643060_1490-0.jpg,16/01/2019 12:50,4.5,98.5,none,moist,0,5.5,4.0,4.7,none,289,0.0,16/01/2019 12:51,5835060,2,12:51:00
VP1004-0,13/12/2018 11:20,/save/VP1004-0/4/1544700004_VP1004-0.jpg,13/12/2018 11:20,0.1,99.0,shower,saline,0,2.0,0.0,0.3,none,32,2.0,13/12/2018 11:20,2892004,1,11:20:04
2445-0,26/02/2019 11:26,/save/2445-0/66/1551180366_2445-0.jpg,26/02/2019 11:20,2.0,53.6,unknown,dry,0,0.0,0.0,11.2,none,338,0.0,26/02/2019 11:26,9372366,0,11:26:06
VP1203-0,20/02/2019 12:30,/save/VP1203-0/2/1550665802_VP1203-0.jpg,20/02/2019 12:20,1.0,62.0,none,moist,0,11.4,0.0,7.7,none,80,0.0,20/02/2019 12:30,8857802,0,12:30:02
67-0,21/12/2018 13:08,/save/67-0/84/1545397684_67-0.jpg,21/12/2018 14:04,0.4,84.6,unknown,saline,0,3.5,0.0,2.7,none,22,5.1,21/12/2018 13:08,3589684,1,13:08:04
1093-0,22/01/2019 12:52,/save/1093-0/56/1548161556_1093-0.jpg,22/01/2019 12:40,-8.5,75.9,none,dry,0,-0.3,-3.0,-5.0,low warning,84,3.0,22/01/2019 12:52,6353556,2,12:52:36
1454-0,29/01/2019 13:12,/save/1454-0/60/1548767560_1454-0.jpg,29/01/2019 13:10,1.7,99.9,none,moist,0,3.4,-0.7,1.7,none,200,0.5,29/01/2019 13:12,6959560,2,13:12:40
1061-0,28/12/2018 11:54,/save/1061-0/40/1545998040_1061-0.jpg,28/12/2018 11:40,5.0,99.0,dew,wet,0,7.1,5.8,5.2,none,300,1.9,28/12/2018 11:54,4190040,1,11:54:00
569-0,14/01/2019 12:45,/save/569-0/8/1547469908_569-0.jpg,14/01/2019 12:30,-7.6,44.1,dew,dry,0,7.0,5.7,3.4,none,179,1.3,14/01/2019 12:45,5661908,2,12:45:08
1067-0,28/12/2018 12:12,/save/1067-0/60/1545999160_1067-0.jpg,28/12/2018 12:00,4.8,86.5,none,wet,0,7.8,0.0,6.9,none,297,4.4,28/12/2018 12:12,4191160,1,12:12:40
1488-0,3/02/2019 12:16,/save/1488-0/93/1549196193_1488-0.jpg,3/02/2019 12:10,3.3,64.2,none,moist,0,11.8,8.5,9.8,none,13,0.0,3/02/2019 12:16,7388193,2,12:16:33
1881-0,26/02/2019 12:14,/save/1881-0/45/1551183245_1881-0.jpg,26/02/2019 12:10,1.2,57.0,none,dry,0,15.6,10.0,9.4,none,330,1.6,26/02/2019 12:14,9375245,0,12:14:05
68-0,6/12/2018 13:30,/save/68-0/19/1544103019_68-0.jpg,6/12/2018 13:30,0.1,99.9,continuous,wet,0,2.0,-0.1,0.1,very low warning,173,0.4,6/12/2018 13:30,2295019,3,13:30:19
569-0,21/01/2019 13:25,/save/569-0/26/1548077126_569-0.jpg,21/01/2019 13:10,-4.7,93.8,none,wet,0,0.2,-1.2,-3.9,slippery danger,352,1.3,21/01/2019 13:25,6269126,2,13:25:26
137-0,7/03/2019 13:12,/save/137-0/20/1551964320_137-0.jpg,7/03/2019 13:10,1.2,48.9,none,dry,0,13.8,12.6,11.6,none,159,1.6,7/03/2019 13:12,10156320,0,13:12:00
137-0,16/02/2019 12:33,/save/137-0/85/1550320385_137-0.jpg,16/02/2019 12:30,4.7,95.2,none,dry,0,8.7,7.2,5.4,none,223,1.0,16/02/2019 12:33,8512385,0,12:33:05
1454-0,21/01/2019 11:32,/save/1454-0/56/1548070356_1454-0.jpg,21/01/2019 11:30,-4.1,99.9,none,dry,0,1.2,-0.5,-4.1,very low warning,171,0.4,21/01/2019 11:32,6262356,2,11:32:36
1067-0,26/12/2018 13:52,/save/1067-0/58/1545832358_1067-0.jpg,26/12/2018 13:40,1.7,75.6,none,dry,0,6.9,0.0,5.7,none,290,3.7,26/12/2018 13:52,4024358,1,13:52:38
1881-0,23/02/2019 13:14,/save/1881-0/43/1550927643_1881-0.jpg,23/02/2019 13:10,-10.9,45.8,none,dry,0,8.2,1.8,-0.6,none,3,0.0,23/02/2019 13:14,9119643,0,13:14:03
258-0,28/02/2019 12:57,/save/258-0/56/1551358656_258-0.jpg,28/02/2019 12:50,3.0,85.6,dew,dry,0,7.6,5.0,5.3,none,251,0.0,28/02/2019 12:57,9550656,0,12:57:36
851-0,12/01/2019 11:27,/save/851-0/56/1547292456_851-0.jpg,12/01/2019 11:20,-1.3,81.8,none,dry,0,1.3,1.4,0.7,none/unknown,269,4.4,12/01/2019 11:27,5484456,2,11:27:36
51-0,12/11/2018 13:02,/save/51-0/71/1542027771_51-0.jpg,12/11/2018 13:58,12.9,99.9,none,dry,0,14.7,0.0,13.0,none,104,0.4,12/11/2018 13:02,219771,3,13:02:51
585-0,22/02/2019 13:57,/save/585-0/58/1550843858_585-0.jpg,22/02/2019 14:00,-8.5,42.9,none,dry,0,10.0,10.6,3.0,none,82,2.6,22/02/2019 13:57,9035858,0,13:57:38
179-0,29/12/2018 12:10,/save/179-0/1/1546085401_179-0.jpg,29/12/2018 12:00,4.2,93.7,none,dry,0,13.7,5.6,5.1,none,262,0.0,29/12/2018 12:10,4277401,1,12:10:01
192-0,15/02/2019 13:34,/save/192-0/42/1550237642_192-0.jpg,15/02/2019 13:20,1.0,80.3,intense,wet,0,9.2,6.2,4.1,none,311,4.2,15/02/2019 13:34,8429642,0,13:34:02
1454-0,5/02/2019 11:52,/save/1454-0/58/1549367558_1454-0.jpg,5/02/2019 11:50,1.4,99.9,none,dry,0,8.3,-0.3,1.4,none,108,0.1,5/02/2019 11:52,7559558,2,11:52:38
1490-0,12/01/2019 13:51,/save/1490-0/60/1547301060_1490-0.jpg,12/01/2019 13:40,-0.2,86.4,none,moist,0,2.9,1.3,1.9,none,285,0.0,12/01/2019 13:51,5493060,2,13:51:00
1093-0,1/02/2019 13:12,/save/1093-0/57/1549026757_1093-0.jpg,1/02/2019 13:10,-1.9,69.3,none,moist,0,7.6,3.9,3.1,none,231,7.1,1/02/2019 13:12,7218757,2,13:12:37
1093-0,24/01/2019 11:07,/save/1093-0/59/1548328059_1093-0.jpg,24/01/2019 11:10,-9.6,75.4,none,dry,0,-2.8,-3.1,-6.0,low warning,100,4.0,24/01/2019 11:07,6520059,2,11:07:39
51-0,17/11/2018 13:28,/save/51-0/6/1542461306_51-0.jpg,17/11/2018 14:25,1.8,89.3,none,dry,0,6.3,0.0,3.4,none,67,1.5,17/11/2018 13:28,653306,3,13:28:26
1181-0,23/02/2019 11:23,/save/1181-0/11/1550921011_1181-0.jpg,23/02/2019 11:30,-13.2,36.7,none,dry,0,8.6,0.0,-0.2,none,344,0.0,23/02/2019 11:23,9113011,0,11:23:31
1215-0,10/03/2019 11:25,/save/1215-0/20/1552217120_1215-0.jpg,10/03/2019 11:20,1.1,61.5,none,dry,0,19.0,0.0,8.1,none,160,0.0,10/03/2019 11:25,10409120,0,11:25:20
55-1,6/03/2019 12:36,/save/55-1/63/1551875763_55-1.jpg,6/03/2019 13:33,-0.1,68.8,none,dry,0,15.2,0.0,5.1,none,245,1.3,6/03/2019 12:36,10067763,0,12:36:03
259-1,9/03/2019 11:37,/save/259-1/55/1552131455_259-1.jpg,9/03/2019 11:30,3.7,96.2,shower,wet,0,7.4,6.0,4.3,none,229,4.8,9/03/2019 11:37,10323455,0,11:37:35
757-1,22/11/2018 13:50,/save/757-1/29/1542894629_757-1.jpg,22/11/2018 13:40,-2.1,99.1,none,dry,0,2.2,0.0,-2.0,none/unknown,230,0.0,22/11/2018 13:50,1086629,3,13:50:29
1242-0,10/03/2019 12:35,/save/1242-0/22/1552221322_1242-0.jpg,10/03/2019 12:30,-2.8,44.3,none,dry,0,18.3,0.0,8.8,none,69,1.4,10/03/2019 12:35,10413322,0,12:35:22
58-0,23/01/2019 12:56,/save/58-0/66/1548248166_58-0.jpg,23/01/2019 13:54,-4.0,94.8,none,unknown,0,-2.2,0.0,-3.3,icing danger,343,1.8,23/01/2019 12:56,6440166,2,12:56:06
VP1203-0,15/02/2019 12:10,/save/VP1203-0/2/1550232602_VP1203-0.jpg,15/02/2019 12:10,3.3,75.0,none,dry,0,11.8,0.0,7.5,none,25,0.0,15/02/2019 12:10,8424602,0,12:10:02
575-0,13/01/2019 13:45,/save/575-0/26/1547387126_575-0.jpg,13/01/2019 13:40,2.5,99.0,none,saline,0,4.9,3.8,2.6,none,266,3.3,13/01/2019 13:45,5579126,2,13:45:26
759-0,8/02/2019 13:45,/save/759-0/1/1549633501_759-0.jpg,8/02/2019 13:40,-1.7,69.8,none,dry,0,7.9,0.4,3.2,none/unknown,159,0.9,8/02/2019 13:45,7825501,2,13:45:01
1067-0,12/12/2018 13:02,/save/1067-0/58/1544619758_1067-0.jpg,12/12/2018 13:00,0.6,84.8,none,saline,0,5.1,0.0,3.0,none,21,0.5,12/12/2018 13:02,2811758,1,13:02:38
346-0,5/12/2018 13:45,/save/346-0/31/1544017531_346-0.jpg,5/12/2018 13:40,1.9,77.0,none,wet,0,8.5,7.3,5.6,none,267,0.0,5/12/2018 13:45,2209531,3,13:45:31
495-2,23/12/2018 12:50,/save/495-2/48/1545569448_495-2.jpg,23/12/2018 12:50,2.3,88.4,none,wet,0,5.5,0.0,4.1,none,286,2.3,23/12/2018 12:50,3761448,1,12:50:48
1488-0,31/01/2019 12:56,/save/1488-0/93/1548939393_1488-0.jpg,31/01/2019 12:50,0.5,98.9,none,wet,0,3.1,0.4,0.7,none,356,0.0,31/01/2019 12:56,7131393,2,12:56:33
2013-0,1/12/2018 11:55,/save/2013-0/0/1543665300_2013-0.jpg,1/12/2018 11:53,-10.1,64.4,unknown,dry,0,-1.6,0.0,-4.3,none,161,0.1,1/12/2018 11:55,1857300,3,11:55:00
1215-0,10/03/2019 13:45,/save/1215-0/19/1552225519_1215-0.jpg,10/03/2019 13:40,0.9,63.9,none,dry,0,13.7,0.0,7.4,none,152,0.0,10/03/2019 13:45,10417519,0,13:45:19
1490-0,30/01/2019 12:33,/save/1490-0/80/1548851580_1490-0.jpg,30/01/2019 12:30,1.1,96.2,none,wet,0,2.6,1.1,1.6,none,83,0.0,30/01/2019 12:33,7043580,2,12:33:00
1157-0,26/01/2019 11:05,/save/1157-0/17/1548500717_1157-0.jpg,26/01/2019 11:00,-7.0,68.2,none,saline,0,0.0,0.0,-2.0,medium warning,112,1.0,26/01/2019 11:05,6692717,2,11:05:17
2013-0,2/12/2018 11:55,/save/2013-0/0/1543751700_2013-0.jpg,2/12/2018 11:55,1.7,99.9,unknown,dry,0,1.7,0.0,1.7,none,162,0.4,2/12/2018 11:55,1943700,3,11:55:00
68-0,19/11/2018 13:50,/save/68-0/24/1542635424_68-0.jpg,19/11/2018 13:40,1.0,85.8,none,dry,0,4.7,3.0,3.2,none,136,1.1,19/11/2018 13:50,827424,3,13:50:24
146-0,6/12/2018 12:45,/save/146-0/21/1544100321_146-0.jpg,6/12/2018 12:40,-5.3,48.9,none,dry,0,8.6,6.3,4.4,none/unknown,195,1.6,6/12/2018 12:45,2292321,3,12:45:21
1082-0,11/03/2019 12:05,/save/1082-0/32/1552305932_1082-0.jpg,11/03/2019 12:00,-3.1,49.0,none,dry,0,9.7,0.0,6.8,none,249,2.1,11/03/2019 12:05,10497932,0,12:05:32
1881-0,22/02/2019 11:36,/save/1881-0/79/1550835379_1881-0.jpg,22/02/2019 11:30,-11.9,47.4,none,wet,0,12.0,-1.8,-2.1,none,18,1.9,22/02/2019 11:36,9027379,0,11:36:19
697-1,28/12/2018 11:32,/save/697-1/59/1545996759_697-1.jpg,28/12/2018 11:30,5.6,95.7,none,moist,0,6.8,0.0,6.2,none,291,2.9,28/12/2018 11:32,4188759,1,11:32:39
179-0,17/12/2018 11:50,/save/179-0/38/1545047438_179-0.jpg,17/12/2018 11:50,-2.9,89.3,none,dry,0,9.9,0.2,-1.4,none,225,0.0,17/12/2018 11:50,3239438,1,11:50:38
757-1,2/12/2018 13:10,/save/757-1/0/1543756200_757-1.jpg,2/12/2018 13:00,0.0,83.6,none,dry,0,2.6,0.9,2.4,none,235,0.5,2/12/2018 13:10,1948200,3,13:10:00
296-0,2/02/2019 13:05,/save/296-0/27/1549112727_296-0.jpg,2/02/2019 13:00,2.1,96.9,continuous,wet,0,3.0,2.2,2.5,none,237,0.0,2/02/2019 13:05,7304727,2,13:05:27
192-0,17/02/2019 11:13,/save/192-0/81/1550401981_192-0.jpg,17/02/2019 11:10,1.7,68.1,intense,wet,0,13.6,10.8,7.2,none,279,0.0,17/02/2019 11:13,8593981,0,11:13:01
146-0,18/11/2018 11:25,/save/146-0/0/1542540300_146-0.jpg,18/11/2018 11:20,-4.4,72.1,none,dry,0,6.2,2.4,0.0,none/unknown,0,1.0,18/11/2018 11:25,732300,3,11:25:00
1067-0,24/12/2018 13:32,/save/1067-0/58/1545658358_1067-0.jpg,24/12/2018 13:30,-3.7,79.6,none,wet,0,1.3,0.0,-0.7,medium warning,310,3.4,24/12/2018 13:32,3850358,1,13:32:38
VP1004-0,14/12/2018 12:00,/save/VP1004-0/4/1544788804_VP1004-0.jpg,14/12/2018 12:00,-4.4,75.0,none,dry,0,2.4,0.0,-0.6,none,39,3.2,14/12/2018 12:00,2980804,1,12:00:04
494-0,21/01/2019 11:10,/save/494-0/16/1548069016_494-0.jpg,21/01/2019 11:00,-5.8,99.1,none,dry,0,-0.6,2.2,-5.7,medium warning,328,0.0,21/01/2019 11:10,6261016,2,11:10:16
1061-0,27/12/2018 11:30,/save/1061-0/35/1545910235_1061-0.jpg,27/12/2018 11:20,5.6,99.0,dew,wet,0,6.6,6.5,5.8,none,234,1.6,27/12/2018 11:30,4102235,1,11:30:35
1215-0,15/02/2019 12:45,/save/1215-0/34/1550234734_1215-0.jpg,15/02/2019 12:40,2.8,99.3,none,dry,0,7.8,0.0,2.9,none,162,0.0,15/02/2019 12:45,8426734,0,12:45:34
VP1203-0,12/02/2019 12:30,/save/VP1203-0/2/1549974602_VP1203-0.jpg,12/02/2019 12:26,-3.2,73.0,none,moist,0,3.2,0.0,1.1,none,89,0.0,12/02/2019 12:30,8166602,0,12:30:02
VP1201-0,6/12/2018 13:30,/save/VP1201-0/2/1544103002_VP1201-0.jpg,6/12/2018 13:30,-6.3,51.0,none,dry,0,4.4,0.0,2.8,none,157,0.0,6/12/2018 13:30,2295002,3,13:30:02
VP1004-0,27/12/2018 12:00,/save/VP1004-0/6/1545912006_VP1004-0.jpg,27/12/2018 12:00,5.1,95.0,none,dry,0,5.8,0.0,5.9,none,280,5.0,27/12/2018 12:00,4104006,1,12:00:06
55-1,17/02/2019 12:16,/save/55-1/0/1550405800_55-1.jpg,17/02/2019 13:15,5.0,85.5,none,dry,0,7.0,0.0,7.3,none,290,2.5,17/02/2019 12:16,8597800,0,12:16:40
1490-0,29/01/2019 13:53,/save/1490-0/80/1548769980_1490-0.jpg,29/01/2019 13:50,0.9,83.9,continuous,wet,0,4.3,2.3,3.4,none,271,0.0,29/01/2019 13:53,6961980,2,13:53:00
283-0,6/02/2019 11:12,/save/283-0/55/1549451555_283-0.jpg,6/02/2019 11:10,0.0,1.3,none,saline,0,0.0,4.3,5.0,none,238,2.6,6/02/2019 11:12,7643555,2,11:12:35
VP1004-0,20/12/2018 11:40,/save/VP1004-0/4/1545306004_VP1004-0.jpg,20/12/2018 11:40,-3.4,78.0,none,dry,0,1.7,0.0,-0.1,none,196,5.3,20/12/2018 11:40,3498004,1,11:40:04
609-0,19/12/2018 13:00,/save/609-0/31/1545224431_609-0.jpg,19/12/2018 13:00,0.0,96.2,dew,wet,0,3.3,0.8,0.5,none,166,1.0,19/12/2018 13:00,3416431,1,13:00:31
179-0,25/12/2018 12:50,/save/179-0/35/1545742235_179-0.jpg,25/12/2018 12:50,1.3,99.9,shower,moist,0,8.2,1.3,1.3,none,275,0.0,25/12/2018 12:50,3934235,1,12:50:35
195-0,26/12/2018 12:50,/save/195-0/7/1545828607_195-0.jpg,26/12/2018 12:50,4.2,90.6,none,dry,0,5.9,5.7,5.7,none,235,3.5,26/12/2018 12:50,4020607,1,12:50:07
1157-0,28/01/2019 12:25,/save/1157-0/18/1548678318_1157-0.jpg,28/01/2019 12:20,-0.1,63.0,none,saline,0,6.0,0.0,6.4,none,102,1.1,28/01/2019 12:25,6870318,2,12:25:18
51-0,28/11/2018 12:08,/save/51-0/94/1543406894_51-0.jpg,28/11/2018 13:05,1.0,85.4,none,dry,0,5.7,0.0,3.3,none,62,0.9,28/11/2018 12:08,1598894,3,12:08:14
609-0,13/12/2018 13:41,/save/609-0/10/1544708510_609-0.jpg,13/12/2018 13:40,-2.3,74.3,none,dry,0,4.5,2.3,1.7,none,149,0.6,13/12/2018 13:41,2900510,1,13:41:50
1181-0,3/03/2019 13:48,/save/1181-0/18/1551620918_1181-0.jpg,3/03/2019 13:50,3.0,66.0,none,dry,0,11.4,0.0,9.1,none,258,0.0,3/03/2019 13:48,9812918,0,13:48:38
65-1,11/01/2019 11:14,/save/65-1/49/1547205249_65-1.jpg,11/01/2019 12:04,-4.0,65.2,unknown,dry,0,3.1,0.0,1.8,none,83,4.5,11/01/2019 11:14,5397249,2,11:14:09
1960-1,29/12/2018 11:25,/save/1960-1/0/1546082700_1960-1.jpg,29/12/2018 11:20,3.6,99.6,none,dry,0,5.6,3.4,3.6,none,176,1.8,29/12/2018 11:25,4274700,1,11:25:00
585-0,15/02/2019 11:22,/save/585-0/57/1550229757_585-0.jpg,15/02/2019 11:20,3.7,65.9,none,dry,0,14.6,18.7,9.8,none,282,1.7,15/02/2019 11:22,8421757,0,11:22:37
851-0,13/01/2019 13:47,/save/851-0/58/1547387258_851-0.jpg,13/01/2019 13:50,-1.1,87.9,none,dry,0,0.0,0.8,-0.1,none/unknown,235,4.6,13/01/2019 13:47,5579258,2,13:47:38
150-1,24/01/2019 12:08,/save/150-1/98/1548331698_150-1.jpg,24/01/2019 13:06,-7.5,83.6,unknown,saline,0,-1.6,0.0,-5.1,high danger,75,4.2,24/01/2019 12:08,6523698,2,12:08:18
1194-1,29/12/2018 11:54,/save/1194-1/40/1546084440_1194-1.jpg,29/12/2018 11:50,3.0,92.9,none,dry,0,3.9,0.0,4.0,none,13,1.1,29/12/2018 11:54,4276440,1,11:54:00
67-0,13/12/2018 12:46,/save/67-0/90/1544705190_67-0.jpg,13/12/2018 13:44,-1.2,94.3,unknown,saline,0,2.4,0.0,-0.4,none,159,1.5,13/12/2018 12:46,2897190,1,12:46:30
569-0,11/01/2019 11:43,/save/569-0/7/1547207007_569-0.jpg,11/01/2019 11:30,-1.3,96.3,snow,saline,0,0.1,0.8,-0.8,slippery danger,355,2.3,11/01/2019 11:43,5399007,2,11:43:27
1061-0,26/12/2018 12:10,/save/1061-0/28/1545826228_1061-0.jpg,26/12/2018 12:00,3.7,99.0,none,wet,0,5.0,4.4,3.9,none,272,3.0,26/12/2018 12:10,4018228,1,12:10:28
344-0,25/02/2019 12:12,/save/344-0/57/1551096757_344-0.jpg,25/02/2019 13:10,0.0,53.1,none,dry,0,15.0,0.0,9.9,none/unknown,260,2.2,25/02/2019 12:12,9288757,0,12:12:37
195-0,30/12/2018 11:30,/save/195-0/11/1546169411_195-0.jpg,30/12/2018 11:30,5.2,99.4,none,dry,0,5.3,5.1,5.3,none,235,4.5,30/12/2018 11:30,4361411,1,11:30:11
575-1,28/12/2018 13:25,/save/575-1/24/1546003524_575-1.jpg,28/12/2018 13:20,3.6,99.0,none,wet,0,6.4,4.8,3.7,none,327,1.4,28/12/2018 13:25,4195524,1,13:25:24
68-0,7/12/2018 13:30,/save/68-0/17/1544189417_68-0.jpg,7/12/2018 13:20,6.8,99.9,none,wet,0,6.9,6.3,6.8,none,263,0.0,7/12/2018 13:30,2381417,3,13:30:17
2013-0,7/12/2018 13:35,/save/2013-0/0/1544189700_2013-0.jpg,7/12/2018 13:33,6.9,99.9,unknown,dry,0,7.5,0.0,6.9,none,258,0.0,7/12/2018 13:35,2381700,3,13:35:00
195-0,18/12/2018 13:50,/save/195-0/8/1545141008_195-0.jpg,18/12/2018 13:50,0.5,97.2,none,wet,0,1.6,0.9,0.9,medium warning,16,1.2,18/12/2018 13:50,3333008,1,13:50:08
137-0,3/03/2019 12:32,/save/137-0/23/1551616323_137-0.jpg,3/03/2019 12:30,3.3,77.3,none,dry,0,8.2,7.6,7.0,none,212,2.7,3/03/2019 12:32,9808323,0,12:32:03
119-0,30/01/2019 11:32,/save/119-0/23/1548847923_119-0.jpg,30/01/2019 11:30,-1.5,92.0,continuous,wet,0,2.8,0.1,-0.4,none,113,0.6,30/01/2019 11:32,7039923,2,11:32:03
137-0,9/03/2019 13:32,/save/137-0/22/1552138322_137-0.jpg,9/03/2019 13:30,5.3,91.6,continuous,wet,0,8.5,6.5,6.6,none,213,3.3,9/03/2019 13:32,10330322,0,13:32:02
2445-0,8/03/2019 13:40,/save/2445-0/38/1552052438_2445-0.jpg,8/03/2019 13:40,1.7,53.0,unknown,dry,0,0.0,0.0,11.0,none,247,0.0,8/03/2019 13:40,10244438,0,13:40:38
258-0,28/02/2019 12:32,/save/258-0/55/1551357155_258-0.jpg,28/02/2019 12:30,2.9,86.6,dew,dry,0,7.2,5.0,5.0,none,268,0.0,28/02/2019 12:32,9549155,0,12:32:35
296-0,16/02/2019 11:45,/save/296-0/10/1550317510_296-0.jpg,16/02/2019 11:40,0.5,38.3,none,dry,0,18.0,13.1,14.6,none,207,1.0,16/02/2019 11:45,8509510,0,11:45:10
68-0,24/11/2018 11:30,/save/68-0/29/1543059029_68-0.jpg,24/11/2018 11:20,1.0,96.1,continuous,wet,0,3.8,1.8,1.6,none,145,0.3,24/11/2018 11:30,1251029,3,11:30:29
1181-0,24/02/2019 11:46,/save/1181-0/87/1551008787_1181-0.jpg,24/02/2019 11:50,-9.1,40.6,none,dry,0,9.8,0.0,2.9,none,308,0.0,24/02/2019 11:46,9200787,0,11:46:27
2014-1,16/12/2018 13:15,/save/2014-1/1/1544966101_2014-1.jpg,16/12/2018 13:17,-1.3,99.9,unknown,dry,0,4.7,0.0,-1.3,none,68,1.1,16/12/2018 13:15,3158101,1,13:15:01
